Subject,PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,ListSort_AgeAdj,CogFluidComp_AgeAdj,CogEarlyComp_AgeAdj,CogTotalComp_AgeAdj,CogCrystalComp_AgeAdj,Endurance_AgeAdj,Dexterity_AgeAdj,Strength_AgeAdj,Odor_AgeAdj,Taste_AgeAdj
138534,104.6,96.36,108.15,91.56,99.55,84.33,123.73,106.42,101.36,103.17,93.5,114.28,94.23,126.38,97.19,101.22
139637,134.81,115.75,100.58,96.52,107.24,110.13,97.6,121.35,127.69,120.76,102.83,114.56,104.06,103.18,98.04,98.45
140925,74.52,81.81,94.55,65.02,69.7,87.12,80.7,69.9,67.47,60.04,63.91,78.99,94.6,69.08,110.45,99.06
144832,84.24,107.87,96.52,98.76199,113.5742,125.28,94.33,100.61,97.21,108.55,108.96,88.83,110.12,119.0,97.19,114.85
146432,86.13,103.0,108.16,113.2199,110.3988,113.48,93.3,99.5,101.23,111.32,115.53,120.92,115.17,130.63,98.04,99.26
147737,114.88,105.35,102.32,92.05086,127.4767,107.94,107.32,113.1,120.55,119.6,113.94,88.02,105.98,85.74,111.41,96.97
148335,84.96,107.87,93.28,124.9,121.21,110.93,88.33,93.41,100.34,117.08,128.04,104.55,102.38,95.38,98.04,116.29
148840,98.43,118.05,114.42,102.97,108.59,99.39,98.44,114.05,122.02,119.1,107.21,122.32,111.17,95.64,97.19,82.25
149337,98.19,113.36,104.36,109.66,106.47,109.74,107.32,111.84,109.45,116.24,110.37,109.64,104.01,85.36,111.41,92.7
149539,130.24,102.06,120.57,130.3,125.37,121.5,108.26,133.69,137.64,153.36,134.73,125.72,121.22,109.9,110.45,91.14
149741,94.1,106.76,102.18,100.54,85.43,92.21,89.14,93.04,94.35,91.42,91.83,104.13,101.27,94.24,97.19,78.91
151223,99.02,103.38,95.98,90.26,91.99,89.55,70.1,84.02,93.78,82.51,88.34,93.85,92.28,71.19,110.45,72.7
151526,104.6,94.54,101.83,109.13,114.79,101.58,108.26,101.58,102.31,114.09,115.83,107.45,95.5,135.38,97.19,88.45
151627,98.84,109.93,113.84,117.61,110.26,111.87,117.24,119.55,115.24,128.19,118.1,117.65,105.53,110.68,111.41,84.4
153025,114.48,100.92,104.27,99.71,103.8,74.97,128.24,109.33,108.31,110.75,101.8,95.04,103.16,88.89,97.19,99.06
154734,105.25,113.4,119.32,116.6408,121.4939,83.22,102.63,112.23,128.68,125.73,123.2,126.7,112.67,122.0,98.04,81.55
156637,56.48,85.33,79.34,124.91,120.36,87.85,112.66,74.47,72.02,101.66,127.71,108.13,88.08,124.13,98.04,107.3
159340,97.12,87.52,95.92,113.33,117.78,75.48,94.33,79.67,92.08,99.21,119.3,113.34,90.78,85.64,97.19,94.97
160123,100.72,102.85,109.48,83.0,100.72,118.72,117.24,117.14,104.86,106.77,86.92,105.15,102.27,130.39,111.41,92.03
161731,109.02,103.67,99.86,116.17,113.56,113.07,84.01,100.89,109.3,115.1,119.17,112.62,111.68,104.21,111.41,115.14
162733,102.94,84.15,88.89,128.57,114.72,81.26,118.14,88.41,87.84,114.18,127.32,84.63,103.99,91.4,110.45,100.24
163129,101.69,102.6,113.29,104.65,115.33,97.54,103.57,107.26,114.05,116.33,113.67,145.56,94.11,124.9,97.19,100.24
176542,112.44,87.37,101.07,92.58,114.82,94.23,103.57,96.87,101.55,102.66,105.21,110.15,92.17,85.29,97.19,91.14
178950,125.19,110.36,107.23,121.13,97.41,111.35,122.75,127.9,118.12,130.71,112.9,133.87,112.25,125.02,98.04,83.22
188347,110.97,99.21,105.31,86.04,94.89,115.61,108.26,112.68,102.48,105.08,86.75,114.61,103.4,94.68,110.45,88.99
189450,95.65,88.95,92.12,96.61,98.42,79.72,89.14,78.65,84.27,82.72,96.7,95.61,91.88,120.93,86.45,111.33
190031,112.44,117.33,100.75,119.82,121.81,112.37,108.26,119.62,124.24,134.48,125.56,95.55,90.51,91.85,110.45,102.15
192540,130.24,105.69,103.91,107.85,94.27,94.2,103.57,114.68,117.17,116.4,101.46,85.82,100.48,86.1,110.45,103.47
196750,117.47,99.36,117.07,92.1,96.26,118.44,89.14,116.32,117.0,112.77,91.77,80.67,84.2,98.64,86.45,91.96
198451,93.17,103.81,107.86,99.02,111.03,105.63,108.26,106.27,104.69,111.38,106.71,90.39,92.09,123.71,110.45,116.29
199655,100.72,97.81,92.66,99.42,93.41,97.16,102.63,95.04,91.19,93.42,95.42,127.72,109.74,116.52,87.11,76.1
201111,104.6,84.72,91.75,103.85,96.36,94.3,108.26,90.58,84.22,93.76,100.04,85.19,83.27,125.98,110.45,87.7
208226,130.24,92.93,90.82,118.49,126.35,91.3,128.24,112.6,114.86,131.01,126.58,107.47,109.68,84.15,110.45,87.7
211417,96.62,118.48,115.21,123.67,113.19,107.29,117.24,122.31,122.28,133.86,124.03,138.66,104.53,122.93,111.41,67.9
211720,110.21,89.69,95.07,116.64,117.53,73.55,80.14,81.21,100.86,101.66,121.52,94.48,109.7,110.62,111.41,85.5
212318,95.94,100.87,115.33,109.36,105.37,102.9,102.63,106.23,107.64,111.56,109.31,101.16,95.71,121.57,98.04,76.1
214423,87.79,92.82,108.06,96.64,106.97,95.97,60.09,80.69,94.33,87.26,101.66,122.42,92.14,136.54,110.45,101.22
221319,82.56,88.52,90.14,87.84,82.62,90.95,72.9,73.28,74.21,72.86,82.82,79.53,89.88,121.29,97.19,116.29
239944,125.19,100.55,84.54,96.97,110.44,96.39,107.32,103.46,106.37,107.27,105.55,107.05,91.14,73.66,111.41,87.88
245333,134.81,103.82,101.46,116.27,105.12,114.23,117.24,126.18,120.19,130.49,113.77,100.98,108.92,86.14,111.41,87.88
280739,94.2,102.87,91.81,80.45,76.3,91.27,75.82,84.26,85.36,74.05,74.55,80.66,80.51,71.6,70.31,124.98
298051,110.21,106.1,115.89,93.18,110.55,97.23,112.66,116.98,120.16,115.99,102.64,96.88,105.73,83.48,98.04,94.32
366446,94.1,95.36,99.12,105.49,106.66,80.25,94.33,84.43,92.34,93.11,106.98,102.67,92.17,113.87,97.19,105.31
